N,Performance,Gender,Caste,coaching,time,Class_ten_education,twelve_education,medium,Class_ X_Percentage,Class_XII_Percentage,Father_occupation,Mother_occupation
0,Excellent,male,General,NO,ONE,SEBA,AHSEC,ENGLISH,Excellent,Excellent,DOCTOR,OTHERS
1,Excellent,male,OBC,WA,TWO,SEBA,AHSEC,OTHERS,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE
2,Excellent,male,OBC,OA,TWO,OTHERS,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE
3,Excellent,male,General,WA,ONE,SEBA,AHSEC,OTHERS,Excellent,Excellent,SCHOOL_TEACHER,SCHOOL_TEACHER
4,Excellent,male,General,OA,TWO,SEBA,CBSE,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,HOUSE_WIFE
5,Excellent,male,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,HOUSE_WIFE
6,Excellent,female,General,OA,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,DOCTOR
7,Excellent,male,OBC,NO,ONE,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
8,Excellent,female,General,NO,ONE,SEBA,AHSEC,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE
9,Excellent,female,General,OA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,HOUSE_WIFE
10,Excellent,male,General,OA,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE
11,Excellent,male,General,NO,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,DOCTOR
12,Excellent,female,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,BANK_OFFICIAL,SCHOOL_TEACHER
13,Excellent,male,General,NO,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE
14,Excellent,male,General,WA,ONE,SEBA,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
15,Excellent,male,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
16,Excellent,male,General,NO,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,COLLEGE_TEACHER
17,Excellent,female,General,OA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE
18,Excellent,male,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,SCHOOL_TEACHER
19,Excellent,male,General,OA,ONE,SEBA,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,SCHOOL_TEACHER
20,Excellent,female,OBC,NO,ONE,SEBA,AHSEC,ASSAMESE,Excellent,Excellent,COLLEGE_TEACHER,COLLEGE_TEACHER
21,Excellent,male,General,NO,ONE,SEBA,AHSEC,OTHERS,Vg,Vg,BANK_OFFICIAL,SCHOOL_TEACHER
22,Excellent,male,General,WA,ONE,SEBA,AHSEC,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,SCHOOL_TEACHER
23,Excellent,male,General,NO,ONE,OTHERS,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE
24,Excellent,male,General,OA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE
25,Excellent,female,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,OTHERS
26,Excellent,female,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,COLLEGE_TEACHER
27,Excellent,male,General,OA,TWO,OTHERS,OTHERS,ENGLISH,Excellent,Vg,DOCTOR,OTHERS
28,Excellent,female,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Vg,OTHERS,COLLEGE_TEACHER
29,Excellent,female,General,NO,TWO,SEBA,AHSEC,ASSAMESE,Good,Vg,SCHOOL_TEACHER,HOUSE_WIFE
30,Excellent,female,General,NO,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,SCHOOL_TEACHER
31,Excellent,male,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE
32,Excellent,female,General,NO,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
33,Excellent,male,General,WA,TWO,SEBA,AHSEC,ASSAMESE,Excellent,Excellent,OTHERS,HOUSE_WIFE
34,Excellent,male,OBC,NO,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,OTHERS
35,Excellent,female,General,OA,TWO,CBSE,AHSEC,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE
36,Excellent,male,General,OA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,COLLEGE_TEACHER
37,Excellent,male,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE
38,Excellent,male,General,NO,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
39,Excellent,male,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Vg,ENGINEER,HOUSE_WIFE
40,Excellent,female,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,DOCTOR,COLLEGE_TEACHER
41,Excellent,male,General,WA,TWO,SEBA,AHSEC,OTHERS,Good,Good,SCHOOL_TEACHER,SCHOOL_TEACHER
42,Excellent,male,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,BANK_OFFICIAL,HOUSE_WIFE
43,Excellent,female,General,OA,ONE,OTHERS,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE
44,Excellent,male,SC,OA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
45,Excellent,male,SC,WA,TWO,SEBA,AHSEC,OTHERS,Excellent,Vg,OTHERS,HOUSE_WIFE
46,Excellent,female,General,NO,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,SCHOOL_TEACHER
47,Excellent,female,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,SCHOOL_TEACHER
48,Excellent,female,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,OTHERS
49,Excellent,male,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,DOCTOR
50,Excellent,male,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE
51,Excellent,male,OBC,WA,TWO,SEBA,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE
52,Excellent,female,General,WA,THREE,SEBA,AHSEC,OTHERS,Vg,Vg,OTHERS,HOUSE_WIFE
53,Excellent,female,General,WA,TWO,OTHERS,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE
54,Excellent,male,SC,OA,TWO,SEBA,AHSEC,ENGLISH,Good,Good,BUSINESS,HOUSE_WIFE
55,Excellent,male,General,WA,THREE,SEBA,AHSEC,ASSAMESE,Excellent,Good,COLLEGE_TEACHER,HOUSE_WIFE
56,Excellent,male,General,NO,TWO,CBSE,CBSE,ENGLISH,Excellent,Good,BANK_OFFICIAL,HOUSE_WIFE
57,Excellent,male,General,OA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Vg,SCHOOL_TEACHER,HOUSE_WIFE
58,Excellent,female,General,WA,TWO,SEBA,AHSEC,ASSAMESE,Excellent,Excellent,BUSINESS,HOUSE_WIFE
59,Excellent,male,General,WA,TWO,SEBA,AHSEC,OTHERS,Excellent,Excellent,OTHERS,HOUSE_WIFE
60,Excellent,male,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,SCHOOL_TEACHER
61,Excellent,female,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE
62,Excellent,male,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,ENGINEER,COLLEGE_TEACHER
63,Excellent,female,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,OTHERS
64,Excellent,female,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE
65,Excellent,male,OBC,WA,ONE,SEBA,AHSEC,ASSAMESE,Average,Average,BUSINESS,OTHERS
66,Excellent,male,General,NO,TWO,CBSE,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
67,Excellent,male,OBC,NO,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
68,Excellent,female,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
69,Excellent,female,General,OA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
70,Excellent,male,OBC,WA,TWO,SEBA,AHSEC,OTHERS,Good,Good,OTHERS,HOUSE_WIFE
71,Excellent,male,General,WA,ONE,OTHERS,OTHERS,ENGLISH,Excellent,Good,OTHERS,OTHERS
72,Excellent,male,OBC,OA,TWO,OTHERS,OTHERS,OTHERS,Vg,Vg,BUSINESS,HOUSE_WIFE
73,Excellent,male,General,WA,THREE,SEBA,AHSEC,ASSAMESE,Vg,Good,OTHERS,SCHOOL_TEACHER
74,Excellent,male,General,OA,TWO,CBSE,CBSE,ENGLISH,Excellent,Vg,SCHOOL_TEACHER,SCHOOL_TEACHER
75,Excellent,male,General,WA,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,COLLEGE_TEACHER
76,Excellent,female,General,WA,THREE,SEBA,AHSEC,OTHERS,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE
77,Excellent,male,General,OA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
78,Excellent,female,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,OTHERS
79,Excellent,male,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,SCHOOL_TEACHER
80,Excellent,female,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Vg,OTHERS,HOUSE_WIFE
81,Excellent,male,General,OA,ONE,SEBA,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,HOUSE_WIFE
82,Excellent,male,General,OA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
83,Excellent,male,General,WA,ONE,OTHERS,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,HOUSE_WIFE
84,Excellent,female,OBC,WA,TWO,SEBA,CBSE,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE
85,Excellent,male,General,NO,ONE,SEBA,AHSEC,OTHERS,Average,Good,OTHERS,HOUSE_WIFE
86,Excellent,male,OBC,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
87,Excellent,female,OBC,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
88,Excellent,female,General,WA,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,SCHOOL_TEACHER
89,Excellent,male,General,OA,TWO,SEBA,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE
90,Excellent,male,General,WA,TWO,SEBA,AHSEC,OTHERS,Good,Excellent,CULTIVATOR,HOUSE_WIFE
91,Excellent,male,General,OA,TWO,SEBA,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE
92,Excellent,male,General,WA,THREE,SEBA,CBSE,ENGLISH,Vg,Good,OTHERS,OTHERS
93,Excellent,female,General,WA,TWO,SEBA,AHSEC,ASSAMESE,Good,Average,SCHOOL_TEACHER,SCHOOL_TEACHER
94,Excellent,male,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,ENGINEER,BANK_OFFICIAL
95,Excellent,female,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
96,Excellent,male,General,OA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE
97,Excellent,female,OBC,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,OTHERS
98,Excellent,male,General,NO,ONE,CBSE,CBSE,ENGLISH,Vg,Vg,OTHERS,HOUSE_WIFE
99,Excellent,female,OBC,WA,ONE,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,COLLEGE_TEACHER
100,Excellent,female,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,SCHOOL_TEACHER
101,Vg,female,General,WA,TWO,SEBA,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,DOCTOR
102,Vg,male,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
103,Vg,female,General,WA,TWO,SEBA,AHSEC,OTHERS,Excellent,Excellent,BANK_OFFICIAL,BANK_OFFICIAL
104,Vg,male,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Vg,BANK_OFFICIAL,HOUSE_WIFE
105,Vg,male,General,NO,ONE,OTHERS,CBSE,ENGLISH,Excellent,Excellent,OTHERS,COLLEGE_TEACHER
106,Vg,female,General,WA,ONE,CBSE,CBSE,ENGLISH,Vg,Vg,BUSINESS,HOUSE_WIFE
107,Vg,male,General,WA,ONE,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
108,Vg,male,General,WA,TWO,SEBA,AHSEC,OTHERS,Vg,Excellent,BUSINESS,HOUSE_WIFE
109,Vg,female,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
110,Vg,male,General,NO,ONE,SEBA,CBSE,ENGLISH,Good,Good,OTHERS,HOUSE_WIFE
111,Vg,male,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Vg,SCHOOL_TEACHER,HOUSE_WIFE
112,Vg,female,General,WA,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,SCHOOL_TEACHER
113,Vg,male,General,WA,FOUR,CBSE,CBSE,ENGLISH,Vg,Vg,COLLEGE_TEACHER,COLLEGE_TEACHER
114,Vg,male,General,WA,THREE,SEBA,AHSEC,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE
115,Vg,female,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,SCHOOL_TEACHER
116,Vg,female,OBC,WA,THREE,SEBA,AHSEC,ENGLISH,Vg,Vg,ENGINEER,HOUSE_WIFE
117,Vg,male,General,WA,THREE,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
118,Vg,male,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE
119,Vg,male,General,WA,THREE,SEBA,AHSEC,OTHERS,Excellent,Good,SCHOOL_TEACHER,HOUSE_WIFE
120,Vg,male,General,NO,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,HOUSE_WIFE
121,Vg,female,OBC,WA,TWO,OTHERS,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE
122,Vg,female,General,NO,ONE,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
123,Vg,female,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,SCHOOL_TEACHER
124,Vg,female,General,WA,TWO,SEBA,AHSEC,ENGLISH,Good,Vg,COLLEGE_TEACHER,HOUSE_WIFE
125,Vg,female,General,WA,TWO,SEBA,AHSEC,OTHERS,Excellent,Excellent,DOCTOR,HOUSE_WIFE
126,Vg,female,OBC,OA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,BUSINESS
127,Vg,male,OBC,WA,TWO,SEBA,AHSEC,OTHERS,Excellent,Excellent,OTHERS,OTHERS
128,Vg,female,General,WA,TWO,SEBA,AHSEC,OTHERS,Excellent,Excellent,COLLEGE_TEACHER,HOUSE_WIFE
129,Vg,male,General,NO,THREE,SEBA,AHSEC,OTHERS,Vg,Vg,CULTIVATOR,HOUSE_WIFE
130,Vg,female,OBC,WA,THREE,CBSE,AHSEC,ENGLISH,Excellent,Vg,SCHOOL_TEACHER,HOUSE_WIFE
131,Vg,male,General,WA,TWO,SEBA,AHSEC,OTHERS,Good,Vg,BUSINESS,HOUSE_WIFE
132,Vg,female,General,NO,ONE,SEBA,AHSEC,ENGLISH,Excellent,Excellent,DOCTOR,DOCTOR
133,Vg,male,SC,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
134,Vg,female,General,NO,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
135,Vg,female,General,WA,TWO,SEBA,AHSEC,ASSAMESE,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE
136,Vg,male,General,WA,TWO,SEBA,AHSEC,OTHERS,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE
137,Vg,male,General,NO,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,SCHOOL_TEACHER
138,Vg,female,OBC,NO,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
139,Vg,female,General,WA,TWO,CBSE,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
140,Vg,male,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Vg,BUSINESS,HOUSE_WIFE
141,Vg,male,OBC,WA,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
142,Vg,male,OBC,NO,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,COLLEGE_TEACHER
143,Vg,male,OBC,WA,ONE,SEBA,AHSEC,OTHERS,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE
144,Vg,female,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,SCHOOL_TEACHER
145,Vg,female,General,WA,TWO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,COLLEGE_TEACHER
146,Vg,male,OBC,NO,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE
147,Vg,male,General,WA,THREE,CBSE,CBSE,ENGLISH,Vg,Vg,OTHERS,HOUSE_WIFE
148,Vg,male,General,WA,TWO,CBSE,CBSE,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE
149,Vg,female,General,WA,ONE,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
150,Vg,female,General,WA,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,COLLEGE_TEACHER
151,Vg,male,General,WA,THREE,CBSE,CBSE,ENGLISH,Vg,Good,SCHOOL_TEACHER,HOUSE_WIFE
152,Vg,female,General,NO,ONE,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE
153,Vg,female,General,OA,THREE,CBSE,CBSE,ENGLISH,Excellent,Good,OTHERS,HOUSE_WIFE
154,Vg,male,General,WA,TWO,SEBA,AHSEC,ASSAMESE,Excellent,Vg,COLLEGE_TEACHER,SCHOOL_TEACHER
155,Vg,female,General,WA,ONE,OTHERS,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,DOCTOR
